,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,PREDDEG,HIGHDEG,latitude,longitude,HBCU,MENONLY,WOMENONLY,ADM_RATE,ACTCMMID,SAT_AVG,Agriculture,Natural Resources,Architecture,Ethnic and Gender Studies,Communication Journalism,Communication Technologies,Computer and Info Sciences,Personal and Culinary Services,Education,Engineering,Engineering Technologies and Related Fields,"Foreign Languages, Literatures, and Linguistics",Consumer Science/Human Sciences,Legal Proffessions and Studies,English Lang/Lit,"Liberal Arts Sciences, General Studies, Humanities",Library Science,Bio-Med/Biology,Math/Stats,Military Technologies and Applied Sciences,Multi-Interdisciplinary Studies,Fitness Studies,Philosophy and Religious Studies,Theology and Religious Vocations,Physical Sciences,Science Technology / Technicians,Psychology,"Homeland Security, Homeland Security, Protective Services",Public Administration and Social Service,Social Sciences,Construction Trades,Mechanic Repair Technology/Technicians,Precision Production,Transportation and Materials Moving,Visual and Performing Arts,Health Professions and Related Programs,Business Management Marketing,History,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,PCTFLOAN,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF
1216,Alice Lloyd College,Pippa Passes,KY,41844,Southern Association of Colleges and Schools Commission on Colleges,www.alc.edu/,3,3,37.335087,-82.875068,0,0,0,0.2656,20,1040,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,575,0.9322,0.0348,0.0087,0,0,0.0017,0,0.0104,0.0122,0.033,1,25108,12230,12230,7280,0.5431,1400,7160,5100,3650,5200
1217,Asbury University,Wilmore,KY,40390-1198,Southern Association of Colleges and Schools Commission on Colleges,www.asbury.edu/,3,4,37.862029,-84.662606,0,0,0,0.6441,25,1201,1,0,0,0,2,0,0,0,2,1,0,1,0,0,1,0,0,1,1,0,1,1,1,2,1,0,1,1,1,1,0,0,0,0,1,1,2,1,1584,0.7689,0.0505,0.0676,0.0145,0.0057,0.0006,0.0107,0.0562,0.0253,0.1402,1,40917,30952,30952,14526,0.6105,1330,7536,2982,5605,3510
1221,Bellarmine University,Louisville,KY,40205-0671,Southern Association of Colleges and Schools Commission on Colleges,www.bellarmine.edu/,3,4,38.219279,-85.704997,0,0,0,0.6622,25,1209,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,2481,0.7803,0.0536,0.0532,0.023,0.0028,0.0008,0.0419,0.0157,0.0286,0.0306,1,57178,42830,42830,18066,0.6027,752,9420,6688,9420,6688
1222,Berea College,Berea,KY,40404-2182,Southern Association of Colleges and Schools Commission on Colleges,https://www.berea.edu/,3,3,37.57202,-84.292893,0,0,0,0.3026,25,1216,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1652,0.5176,0.1671,0.1295,0.0285,0,0.0012,0.0787,0.0751,0.0024,0.0018,1,49854,44700,44700,2572,0.2014,700,6966,2500,6966,2500
1225,Brescia University,Owensboro,KY,42301-3023,Southern Association of Colleges and Schools Commission on Colleges,www.brescia.edu/,3,4,37.769041,-87.111639,0,0,0,0.4233,23,1147,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,0,1,1,0,0,0,0,2,1,0,2,0,2,1,0,0,0,0,1,1,2,1,843,0.6382,0.1234,0.0771,0.0142,0.0071,0.0024,0.0095,0.0059,0.1222,0.153,1,34750,23500,23500,9800,0.6815,3000,9940,2000,11500,2000
1228,Centre College,Danville,KY,40422-1394,Southern Association of Colleges and Schools Commission on Colleges,https://www.centre.edu/,3,3,37.645709,-84.779392,0,0,0,0.7644,29,1326,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1401,0.7181,0.0542,0.065,0.045,0.0021,0.0007,0.0371,0.0635,0.0143,0,1,55253,43000,43000,18587,0.4498,1400,10740,1770,8900,1470
1232,University of the Cumberlands,Williamsburg,KY,40769,Southern Association of Colleges and Schools Commission on Colleges,www.ucumberlands.edu/,3,4,36.737048,-84.161646,0,0,0,0.8004,21,1077,0,0,0,0,1,0,2,0,2,1,0,1,0,0,1,2,0,1,1,0,0,1,0,2,1,0,2,2,2,1,0,0,0,0,1,2,2,1,3335,0.1403,0.0072,0.0042,0.0015,0.0009,0,0.0015,0.0051,0.8393,0.2009,1,35844,9875,9875,9694,0.428,1400,9300,3690,8281,6063
1233,Eastern Kentucky University,Richmond,KY,40475-3102,Southern Association of Colleges and Schools Commission on Colleges,www.eku.edu/,3,4,37.740845,-84.300796,0,0,0,0.9383,23,1144,1,1,0,0,1,1,1,0,1,0,2,1,2,2,1,2,0,1,1,0,1,1,1,0,1,0,2,2,2,2,0,0,0,1,1,2,1,1,11582,0.8391,0.0597,0.0362,0.0089,0.0023,0.0008,0.0305,0.0123,0.0101,0.1449,1,22867,9876,19948,6805,0.5046,1200,10476,2800,10476,4600
1236,Georgetown College,Georgetown,KY,40324-1696,Southern Association of Colleges and Schools Commission on Colleges,www.georgetowncollege.edu/,3,4,38.207615,-84.553767,0,0,0,0.6335,24,1187,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,945,0.7439,0.1005,0.0508,0.0053,0.0011,0,0.0519,0.0201,0.0265,0.0138,1,51602,39810,39810,10034,0.6847,1250,10160,2298,8478,4248
1245,Kentucky Mountain Bible College,Jackson,KY,41339,Association for Bibical Higher Educaiton,www.kmbc.edu/,3,3,37.603443,-83.438765,0,0,0,0.4824,21,1058,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,0.875,0.0469,0.0469,0,0,0,0,0.0313,0,0.2656,1,15051,9610,9610,8583,0.4366,500,5140,500,5800,500
